,Tenpai,Machi
0,1233445566999,36
1,4555666677789,3579
2,2334455567899,259
3,1111333345999,2
4,2244445556777,25
5,1113444477788,25
6,2233344455788,6
7,1222233455799,6
8,2333466888999,36
9,3355667788999,358
10,1223334588999,14
11,1111236666888,7
12,1234446677999,67
13,1111223445699,3
14,1134455566999,47
15,2224444578999,36
16,1111222355578,69
17,3344555567799,6
18,2234557777888,6
19,1134555566777,16
20,1244666789999,3
21,2333344555589,7
22,2224455566689,7
23,1112234466888,3
24,1112345577799,59
25,1233566667899,4
26,1122333444589,7
27,1223346667899,69
28,3444466777789,25
29,2333455577799,39
30,1111234556799,36
31,1222344445678,1369
32,2344445567799,6
33,2234467788889,3
34,3333444556888,2457
35,1114447788999,6789
36,2224555577789,36
37,1112233444479,8
38,1333344466678,2
39,2224567788889,34679
40,2226777889999,578
41,1255666788889,3
42,3334556677899,369
43,1111223366688,48
44,1112234677778,235
45,1122555666678,12
46,3335678888999,457
47,1234555566778,134679
48,3456667788899,789
49,1112455667777,23
50,1356677788889,2
51,3336677788899,69
52,1114566777888,35678
53,2223335888999,45
54,2222344455789,145
55,1112256788889,47
56,1234455566677,147
57,2223333467888,258
58,1112222345578,69
59,3334445567789,34568
60,2334578888999,14
61,1256677788889,3
62,1113335568888,7
63,2333345556688,68
64,1234456677789,58
65,1111366677888,2
66,2224578889999,36
67,1113455566699,259
68,2223445577789,36
69,4444566788899,589
70,2222366777788,14
71,2333444456678,1237
72,4445566777789,456
73,1234555567999,134678
74,2223344445579,8
75,2223344488899,39
76,1155556778899,47
77,2233455777789,14
78,1122233334579,8
79,3334445777789,3456
80,2333355667799,14
81,3466677789999,25
82,2233445678999,124578
83,2234445667899,3
84,1222666677778,13
85,1111355567999,2
86,2222344667888,5
87,2334445577999,36
88,3344455688899,25
89,3333444566777,46
90,1113455667999,236
91,1233334444599,69
92,2333466667899,39
93,1113333488899,25
94,1112223335599,59
95,1244456677889,3
96,1112223335568,7
97,2223345667999,58
98,1133334577888,17
99,1223334678999,3
100,3444567888999,23458
101,2233334456678,12457
102,1112224478899,7
103,1235566678899,7
104,1222233355999,35
105,1245667788999,3
106,3333444455679,89
107,1333345688899,2
108,2266667778888,27
109,2333444666789,1234
110,2223333456778,679
111,1113456777999,23568
112,2346688889999,7
113,2333455577999,37
114,4444555678999,3569
115,2233345678888,2369
116,1233334566668,78
117,2344445666688,178
118,2222344555588,36
119,2344445556679,8
120,1113334445788,6
121,1122223345777,1346
122,4445555777788,6
123,1112233345666,12346
124,1112456678999,23
125,1236666788889,79
126,1112333366789,146
127,2346667777899,689
128,1122223344557,6
129,3334555568889,79
130,3444677788899,235
131,1344455666789,2
132,1133356777799,19
133,4566677778899,369
134,2233356778889,28
135,1112355678888,145
136,1114455567788,69
137,2223344566688,258
138,1235666779999,8
139,1345555667778,2
140,1244555566778,3
141,1123467778999,17
142,1144556888999,36
143,2223344456888,23457
144,3334666777888,245
145,2222344445689,7
146,1234555666777,134567
147,1245556788889,3
148,2455556777799,3
149,1111235588899,59
150,1233334677999,5
151,2224788889999,34
152,1113556667778,23
153,1111233488899,25
154,1112234455678,369
155,1144555666678,147
156,3345668888999,7
157,1235555678889,479
158,1134444555667,17
159,1123455566668,7
160,1112222345677,147
161,2223355567899,39
162,1122223333466,146
163,2224455557999,6
164,3555667777999,4
165,2233444478899,7
166,1266677778889,3
167,1222233444666,1345
168,1122344456799,3
169,1123355566688,2
170,2334445556777,2356
171,1155566777999,16
172,2223344467999,58
173,1114455578999,469
174,1345555677999,2
175,2224445588999,58
176,1112224467888,458
177,3566667778889,4
178,1233335677788,478
179,1124666778899,3
180,2345566677799,589
181,1122444666999,12
182,1115555677999,4678
183,2345556667888,56789
184,1123555677889,14
185,2222333466999,36
186,1111223445666,3
187,2224555567889,8
188,1155566678889,18
189,3344555677899,69
190,2223455678999,24578
191,1112224445589,7
192,1113555667799,4
193,3334556667788,4578
194,1123334577799,2
195,2244445678899,7
196,2445666777888,3
197,2224446888899,7
198,1113333466789,25
199,2223444455577,257
200,2222455667788,3
201,3444455556689,7
202,2244446777999,5
203,1234444555666,13567
204,1133445588889,7
205,1133444677778,13
206,1113334555579,8
207,1222234456666,13457
208,1333455666778,12
209,2223345555679,8
210,1111223334589,7
211,3344467778999,37
212,3355556677789,38
213,1133345677899,8
214,1133344445777,136
215,1222233336799,58
216,1235666677899,9
217,2223333455559,9
218,1122223356788,8
219,3335566677789,5679
220,1134444577779,8
221,2255556667778,28
222,2344555667888,258
223,1112244466667,58
224,3335577778889,58
225,4466677778999,469
226,3333466677789,25
227,1122233444499,3
228,2344556677789,147
229,2444456777888,23
230,2233455556999,23
231,1114456677799,5
232,4444566778889,58
233,1122255566668,7
234,1111222233334,45
235,1123333556677,124
236,3444666777789,235
237,1112455556666,23
238,3334445666999,34567
239,3334444566667,2578
240,1114445577789,57
241,3344455556788,368
242,2225677888999,46789
243,2333444555579,8
244,2455556667777,3
245,1144455578889,18
246,1112222555777,3
247,1112225556778,679
248,1566667777888,1
249,1223345556788,58
250,1112224446677,67
251,2223334566678,369
252,1113444556677,2358
253,2334444556678,17
254,3355666678888,35
255,1223344578999,36
256,2224445556788,58
257,1133344556777,136
258,3344455568889,79
259,1112223457999,678
260,4445566677788,35689
261,2222334566699,14
262,2333444556788,258
263,1233456666799,258
264,3333455666779,8
265,1222333445559,9
266,1123344566999,16
267,1123455578899,7
268,1123345777888,14
269,2222334455558,8
270,1113335666688,47
271,1112222346679,8
272,2234566677899,8
273,1233334445679,89
274,1113444567777,2358
275,2233345555688,28
276,3444456666789,2359
277,1113456678999,2369
278,1122234455679,8
279,1112223355568,7
280,1223345567799,6
281,2224455577899,8
282,1134455666788,7
283,1114446678888,5679
284,1113366677899,8
285,1233367789999,58
286,1111238888999,7
287,3445578888999,36
288,2224446667889,78
289,1111222233588,4
290,4446677779999,8
291,4445556779999,8
292,1115567888999,58
293,1122223456789,1347
294,1133445566788,7
295,1222233337888,679
296,1111237777999,8
297,3335566788889,56
298,2223466679999,8
299,3455666677888,245789
300,1234445566679,8
301,1244445566667,3
302,1112346668888,7
303,2234445566789,25
304,1223346888899,7
305,2344455666888,134567
306,2344555666779,9
307,2225566777889,58
308,1223333456788,8
309,2444556688999,3
310,2224556788999,36
311,1122233345788,6
312,1112333446678,5
313,2344446688999,68
314,1111234444556,356
315,2224456666779,8
316,1122244467999,58
317,1112224445558,8
318,1133455666999,4
319,1223344445678,235689
320,1113455578899,7
321,1122233344466,146
322,2223666777888,134
323,1113345789999,236
324,1334566667899,2
325,1233335667888,467
326,3456666777999,2358
327,3445555688999,28
328,1112344455666,13456
329,1114445556778,679
330,1133444456888,13
331,2223555567899,4
332,1233344445888,2356
333,1222233345599,4
334,1223467788999,3
335,2222466677999,3
336,1233346777999,5
337,2455667778999,3
338,1114555677899,8
339,1233555666888,34
340,2455566788889,3
341,3335556667799,479
342,2223444455568,7
343,1111222355556,47
344,1112245555667,28
345,1134444555677,6
346,2334444566677,17
347,1122336677778,5689
348,2344466667789,58
349,1234446777799,58
350,1245666678888,3
351,1111333356799,2
352,1334567888999,2
353,2234566678999,269
354,1111233444999,235
355,2234566667889,7
356,1111235556666,47
357,1113344455667,347
358,1122223455677,6
359,1244567888999,3
360,1133355566677,147
361,1122334567789,147
362,1134444557777,6
363,1111223335678,4
364,1233344467888,358
365,1122334456779,8
366,2334555666678,134
367,1112455666789,3
368,1111234447778,689
369,1112245666679,8
370,1123445555689,7
371,4445556678999,345679
372,2245556667777,24
373,1222555678999,13
374,2224456777888,347
375,3355556667788,47
376,1122355777789,3
377,1222233478899,7
378,5556666777999,4578
379,2223444588999,48
380,1112333379999,8
381,2223366677789,37
382,2223466667778,257
383,2223455556779,8
384,2366667778999,14
385,1114566677779,8
386,2233334777999,1245
387,2233344566667,234
388,2223445666678,23459
389,1134556677788,69
390,1111223335999,4
391,4444556679999,8
392,5666677778899,4589
393,4555566679999,8
394,1222245566667,3
